栩栩如生|栩栩如生|形容肖像、雕塑等细致逼真，像活的一样。|vivid; lifelike; true to life|xǔ xǔ rú shēng|这幅画上的人物被刻画得栩栩如生。|典出《庄子·应帝王》，“栩栩，亦庖厨中之鸟名，栩栩不绝也。”后引申为形容艺术形象生动传神。
乘胜追击|乘勝追擊|趁着胜利的形势继续追击敌人|press the attack; pursue victory|chéng shèng zhuī jī|这场比赛他们一举得分，现在应该乘胜追击，再接再厉。|“乘”意指趁势，利用机会；“胜”指胜利或者成功；“追击”来源于军事术语，指追赶并攻击敌人。此成语整体寓意在于把握机遇，懂得在成功时进一步推进目标。
咆哮|咆哮|大声吼叫，愤怒或威胁性的叫声|roar; howl; yell in rage|páo xiào|狮子发出震耳欲聋的咆哮声。|“咆”意指大声吼叫，来自于古汉语词根，描绘野兽或洪水发出的声音；“哮”代表呼号、吼叫，形成的复合词即为猛烈的吼叫声。
咄咄逼人|咄咄逼人|形容气势汹汹，令人难以招架。|aggressive; overbearing; pushy|duō duō bī rén|他咄咄逼人的态度让大家都不舒服。|该成语来源于北齐时一个名叫魏书的历史学家笔记中，原作“咄咄而行”，形容气势盛的样子，后来演变为“咄咄逼人”。
簌簌|簌簌|形容物体快速坠下或微微颤动的声音。|rustling sound; whispering|sù sù|树叶在风中簌簌作响。|“簌”字本义为声音；在古代是形声字，由“竹”和“肀”组成，表示与竹子声音有关。簌簌一般用来形容风吹叶动的声音或是水流声。
腋窝|腋窩|人体上肢与胸壁连接处的凹陷部分|armpit; underarm|yè wō|他感到腋窝剧烈疼痛，怀疑自己患上了腋窝淋巴结炎。|腋指胳膊底下；“窝”则意指凹陷的地方或小洞。
特工|特工|特别委派的工作，通常指某些国家秘密情报或执行特殊任务的工作人员。|special agent; operative; spy|tè gōng|作为一名特工，他需要在各种危险的环境中完成任务。|“特”意指特殊、特别，指派的职责与使命不同于普通岗位；“工”在此引申为工作、任务。结合起来，“特工”指代从事特别任务的人或工作。
戒骄戒躁|戒驕戒躁|警惕、避免自满和急躁的情绪|guard against arrogance and impetuosity|jiè jiāo jiè zào|在成功后，我们必须戒骄戒躁，继续努力。|“戒骄戒躁”这句成语强调的是在成功或困难的情况下保持谦逊和冷静的态度。“戒”指警戒、避免，“骄”指骄傲自满，“躁”指急躁的态度。古人常用以自省，避免因成功而产生的怠惰情绪或遇挫折的盲目冲动。
言传身教|言傳身教|通过谈话传授和自身示范来教育他人。|leading by example through both speech and personal conduct|yán chuán shēn jiào|父母需要言传身教，给孩子树立榜样。|“言传身教”意指通过语言来传授知识，同时通过身体力行来影响他人。这是教育和学习中注重言语和行动相结合的传统方式。源自于“言”和“教”的结合表达方式，常见于家庭和学校教育中。
破格|破格|打破常规或规定的标准或等级|to break the norm; to be unconventional|pò gé|他破格提升为部门经理。|“破”意指打破、突破，“格”则指规格或规则。合起来意指打破旧有的规格或限制，多用于提升或录用方面不符合常规但有特殊才能的人。
开窍|開竅|开始明白事理或找到了处理问题的关键|enlighten; open to understanding; hit upon a good idea|kāi qiào|他最近好像开窍了，工作效率明显提高了。|“开”表示打开、开始的意思，是一个象形字，象征一扇门户打开的样子。“窍”字由穴和空两部分组成，象征人的感知和理解之门。组合在一起表明打开思维或理解的大门。
贞操|貞操|坚贞的节操或操守，尤指对于性的纯洁和忠贞。|chastity; fidelity; integrity|zhēn cāo|她以自己的贞操为荣。|“贞”的本义是坚贞不屈，反映了对正直、忠诚的道德观念，古代常用于对女性的道德评价。“操”意指操守、行为。贞操一词结合起来便用以指代性的纯洁与道德上的坚贞。
打退堂鼓|打退堂鼓|原指旧时封建官吏召见或判处民事后决定不再继续的宣告，后引申为做事中途退出或放弃，表示懦弱或犹豫。|to retreat; to back down; to give up halfway|dǎ tuì táng gǔ|他本想跑马拉松，但因准备不足，中途就打了退堂鼓。|“打退堂鼓”源于古代官府审案程序中的击鼓仪式，退堂时击鼓表示审理结束。现代则用以形容中途放弃或退缩的行为。
批文制度|批文制度|对于出口商品进行管理和监督的一种制度，通常通过政府部门许可，防止无序竞争和恶意压价。|document approval system|pī wén zhì dù|为了保护本地市场，政府加强了批文制度的实施。|无
眼中钉|眼中釘|比喻极其厌恶的人或事物，常指对自己有威胁的人。|thorn in one's side; hated person|yǎn zhōng dīng|他是我的眼中钉，恨不得把他赶走。|该成语可以追溯到三国时期，常用来形容关羽对待某些敌对势力时的憎恶，其中“钉”意指像钉子一般扎在眼里，形容看到就烦。
不以为然|不以為然|不认为是对的；不同意或反对某种看法、意见|disapprove of; take exception to; regard as incorrect or inappropriate|bù yǐ wéi rán|对于他的看法，我不以为然。|“不以为然”这个成语，出自《论语·述而》。意思是“不认为是对的”，其中“然”是对的、正确的意思，整个短语表达出不同意或反对某种看法、意见。
置之度外|置之度外|不放在心上，不加考虑。|to disregard; to pay no heed to; to ignore|zhì zhī dù wài|他对那些批评置之度外，继续按照自己的计划前进。|“置之度外”是一个汉语成语，其中“置”是放置的意思，“度外”指超出考虑的范围。这个成语从字面上表述就是“把某事放在可以忽略的范围之外”，意指不放在心上。
疾呼|疾呼|急切地呼喊|cry out urgently; loudly call out|jí hū|他在楼下疾呼，希望有人听到他的求救声。|“疾”字本意是指快速、猛烈，也有病痛之意。“呼”表示呼喊、叫喊。在一起组合形成“疾呼”一词，形容快速地、大声地呼喊。
浩劫|浩劫|巨大的灾难|catastrophe; great disaster|hào jié|此次地震给城市带来了前所未有的浩劫。|“浩”本义为浩大，无边无际，多用于水势湍急，波涛汹涌，后引申为广大的意思。“劫”本义为天灾人祸，后引申为大的灾难。浩劫表示巨大规模的灾难。
抑或|抑或|或者；用在选择关系的两种情况之间，表示二者中的一个|or; either; used to indicate choice between two options|yì huò|你应该选一个方案，抑或方案A，抑或方案B。|“抑”最初意为控制、压制，后来引申为选择。“或”的本义为选择、可能、也许，两者组合在一起表示选择关系。
深入浅出|深入淺出|内容深刻，但用浅显的语言解释，使人容易理解。|thorough yet easily understandable; simple yet profound|shēn rù qiǎn chū|他的讲解深入浅出，令学生们茅塞顿开。|词语由“深入”和“浅出”两个词合成而来，形象地表达了用浅显易懂的方式解释深奥内容的过程。
夭折|夭折|人或动植物在幼年时死亡；事情中途失败或终止。|premature death; die young; to cut short|yāo zhé|那棵小树由于缺水而夭折了。|“夭”意为年轻，形容尚未成熟之物；“折”在此表示断裂或中途终止。两字结合便有年轻或事情未完成便终止之意。
嶙峋|嶙峋|形容山石、骨骼等暴露、突兀的样子|rugged; jagged|lín xún|巍峨嶙峋的山崖让人望而生畏。|“嶙”与“峋”均含有山石、高峻不平的意思，“嶙峋”连用形容山石突兀、高耸入云的姿态。
出类拔萃|出類拔萃|超出同类之上；才能或表现特别突出。|outstanding; to stand out from the crowd|chū lèi bá cuì|他在数学方面总是出类拔萃，令人佩服。|“出类拔萃”源于《史记·秦始皇本纪》，原意指草木长得优秀，拔萃是从一堆草中选出最好的，引申指人的才能特别突出。
物色|物色|寻找物品或人；选择合适的人或物|to look for; to seek; to select|wù sè|公司正在物色一位有经验的市场经理。|“物”指具体的东西，“色”本是指色彩，引申为样子、形式，后来用于找寻、选择合适的对象。
时兴|時興|某个时期内广泛流行、受欢迎的事物或活动|popular; trendy; in vogue|shí xīng|这款新手机在年轻人中非常时兴。|“时”指时间或时代，“兴”表示兴起或流行，因此“时兴”指某个时期流行起来的事物。
时兴|時興|流行，受到大家的喜爱和追随。|fashionable; in vogue; trendy|shí xīng|最近这种风格的衣服非常时兴。|“时”指时间、时光，“兴”意为兴起、流行。结合起来，即表示在某个时间段内非常流行和受到欢迎。
百花齐放|百花齊放|各种各样的花都在同时盛开，比喻不同形式和风格的事物并存发展。|a hundred flowers bloom (a metaphor for various things thriving together); let a hundred flowers bloom and a hundred schools of thought contend|bǎi huā qí fàng|春天到了，公园里百花齐放，美不胜收。|“百花”是众多花卉的统称，“齐”意为一起、同时，“放”意为开放或绽放。这个成语源自于中国园艺美学，后被引申用于各种文化现象并存的描述。
